#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                 529            -5.57693             -5.5535          0.00704642
                 530            -5.59148            -5.55357          0.00703349
                 531            -5.57048             -5.5536          0.00702032
                 532            -5.44978            -5.55341          0.00700983
                 533            -5.43014            -5.55318           0.0070005
                 534            -5.46785            -5.55302          0.00698921
                 535            -5.55018            -5.55301          0.00697615
                 536            -5.51406            -5.55294          0.00696351
                 537            -5.47157            -5.55279          0.00695219
                 538            -5.53122            -5.55275          0.00693939
                 539            -5.46394            -5.55258          0.00692847
                 540            -5.37658            -5.55226           0.0069233
                 541              -5.435            -5.55204          0.00691389
                 542            -5.46305            -5.55187          0.00690309
                 543             -5.3877            -5.55157          0.00689699
                 544            -5.40674            -5.55131          0.00688945
                 545            -5.43807             -5.5511          0.00687994
                 546            -5.55738            -5.55111          0.00686735
                 547            -5.50142            -5.55102           0.0068554
                 548             -5.4731            -5.55088          0.00684436
                 549            -5.62223            -5.55101          0.00683313
                 550            -5.63982            -5.55117          0.00682261
                 551            -5.59428            -5.55125          0.00681068
                 552            -5.60638            -5.55135          0.00679907
                 553            -5.65439            -5.55153          0.00678933
                 554            -5.64855            -5.55171          0.00677933
                 555            -5.61046            -5.55181          0.00676794
                 556            -5.53034            -5.55177          0.00675588
